f_year,year,groups,seg_floodplain_area,seg_ndvi_5_7,f_group,seg_cropland_perc
2002,2002,"[430,440)",0.062355423,0.013058002,44,0.209412445
2002,2002,"[440,450)",0.149295376,0.049034831,45,0.328441725
2002,2002,"[450,460)",0.452755911,0.016764343,46,0.03702733
2002,2002,"[460,470)",0.07533243,0.047580368,47,0.631605379
2002,2002,"[470,480)",0.113992714,0.00287805,48,0.025247667
2002,2002,"[480,490)",0.126858163,0.045568963,49,0.359211906
2002,2002,"[490,500)",0.314440964,0.053555632,50,0.170320149
2002,2002,"[500,510)",0.139417113,0.016461712,51,0.118075263
2002,2002,"[510,520)",0.102284624,0.017418432,52,0.170293748
2002,2002,"[520,530)",0.250875438,0.078452645,53,0.312715527
2002,2002,"[530,540)",0.258373399,0.075155256,54,0.290878459
2002,2002,"[540,550)",0.248397136,0.067944169,55,0.273530404
2002,2002,"[550,560)",0.206085169,0.038488255,56,0.186758974
2002,2002,"[560,570)",0.063590037,0.001085966,57,0.017077611
2002,2002,"[570,580)",0.115769075,0.0045742,58,0.039511419
2002,2002,"[580,590)",0.060137268,0.009684851,59,0.16104574
2002,2002,"[590,600)",0.144766275,0.002555143,60,0.017650128
2002,2002,"[600,610)",0.026538105,0.001005424,61,0.037886056
2002,2002,"[610,620)",0.458013001,0.103871547,62,0.226787333
2002,2002,"[620,630)",0.566564768,0.218034034,63,0.384835144
2002,2002,"[630,640)",0.105799865,0.009939342,64,0.093944755
2002,2002,"[640,650)",0.243511741,0.036888314,65,0.151484745
2002,2002,"[650,660)",0.105270211,0.073099373,66,0.694397522
2002,2002,"[660,670)",0.323276732,0.060043249,67,0.185733285
2002,2002,"[670,680)",1.244472522,0.890112133,68,0.715252541
2002,2002,"[680,690)",0.013752827,0.003176259,69,0.23095319
2002,2002,"[690,700)",0.361403545,0.016746554,70,0.046337547
2002,2002,"[700,710)",0.081741164,0.002948068,71,0.036065888
2002,2002,"[710,720)",0.151140301,0.028751157,72,0.190228264
2002,2002,"[720,730)",0.203961546,0.05673495,73,0.278164933
2002,2002,"[730,740)",0.176698688,0.017335552,74,0.098107983
